HOUR,EV1
0.08333333333333333,1.0880274255953706
0.16666666666666666,0.8264210079412055
0.25,0.720000000000001
0.3333333333333333,0.6575740357787478
0.41666666666666663,0.45859352132089976
0.49999999999999994,0.3600000000000003
0.5833333333333334,0.23411810776352893
0.6666666666666666,0.03172264278391512
0.75,1.9984014443252814e-15
0.8333333333333334,0.0
0.9166666666666666,3.164135620181698e-15
1.0,0.0
1.0833333333333333,3.164135620181698e-15
1.1666666666666665,3.164135620181698e-15
1.2499999999999998,3.164135620181698e-15
1.3333333333333333,3.1641356201816894e-15
1.4166666666666665,3.164135620181698e-15
1.4999999999999998,3.164135620181698e-15
1.5833333333333333,3.1641356201816894e-15
1.6666666666666665,3.164135620181698e-15
1.7499999999999998,3.164135620181698e-15
