HOUR,EV1
0.08333333333333333,-0.22090580265894766
0.16666666666666666,-0.2696078266401696
0.25,-0.11202207088470362
0.3333333333333333,-0.06242593322683687
0.41666666666666663,-0.20327385882131216
0.49999999999999994,-0.10378263831138579
0.5833333333333334,-0.12588187673926343
0.6666666666666666,-0.21092800020715086
0.75,-0.033392250537870316
0.8333333333333334,0.0
0.9166666666666666,3.164135620181698e-15
1.0,0.0
1.0833333333333333,3.164135620181698e-15
1.1666666666666665,3.164135620181698e-15
1.2499999999999998,3.164135620181698e-15
1.3333333333333333,3.1641356201816894e-15
1.4166666666666665,3.164135620181698e-15
1.4999999999999998,3.164135620181698e-15
1.5833333333333333,3.1641356201816894e-15
1.6666666666666665,3.164135620181698e-15
1.7499999999999998,3.164135620181698e-15
