HOUR,EV1
0.08333333333333333,1.3089332282543182
0.16666666666666666,1.0960288345813751
0.25,0.8320220708847046
0.3333333333333333,0.7199999690055847
0.41666666666666663,0.6618673801422119
0.49999999999999994,0.4637826383113861
0.5833333333333334,0.35999998450279236
0.6666666666666666,0.24265064299106598
0.75,0.033392250537872314
0.8333333333333334,0.0
0.9166666666666666,0.0
1.0,0.0
1.0833333333333333,0.0
1.1666666666666665,0.0
1.2499999999999998,0.0
1.3333333333333333,0.0
1.4166666666666665,0.0
1.4999999999999998,0.0
1.5833333333333333,0.0
1.6666666666666665,0.0
1.7499999999999998,0.0
