HOUR,B1,M1,M2,M3,B2,B3,B4,B5,B6
0.08333333333333333,1.0,0.9990315825436511,0.9991705825369567,0.9990046177056834,0.9990991861466632,0.9983063407210236,0.9909632546961357,0.9841346267300168,0.9968653363071368
0.16666666666666666,1.0,0.99914352250425,0.9992975855427817,0.999116726406977,0.9991958745305204,0.9984842844617628,0.9921296084601783,0.9862828646950947,0.9970480941904791
0.25,1.0,0.9992738843346441,0.9994430034152763,0.999247257431106,0.9993109881470178,0.998699079098289,0.9935605054118551,0.9889231785409345,0.9972677541761213
0.3333333333333333,1.0,0.9993478728135841,0.9995320538825098,0.9993214135669992,0.999369734258195,0.9988011690355677,0.9941838945320521,0.9900625204707891,0.9973745458655131
0.41666666666666663,1.0,0.9994019810326679,0.999601225309524,0.9993756888951197,0.9994086031312885,0.9988635153732653,0.9945224353447485,0.9906723249099931,0.9974415361975902
0.49999999999999994,1.0,0.9995072442957418,0.9997215386746158,0.9994811205862381,0.9994986297647921,0.9990281651397852,0.9955946951334701,0.9926464451484837,0.9976109749062776
0.5833333333333334,1.0,0.9995778423987767,0.9998071911491575,0.9995518861816007,0.9995539942542407,0.9991235060051717,0.996170081847998,0.9936967876835672,0.9977110048113521
0.6666666666666666,1.0,0.999653267596604,0.9998976669016878,0.9996274789725688,0.9996141888083105,0.9992285100711674,0.9968149108643914,0.9948763447909701,0.9978207106280728
0.75,1.0,0.9997618250383556,1.0000212635236092,0.9997362048312421,0.9997075203281248,0.999399787587406,0.9979354994639028,0.9969408645369197,0.99799678217758
0.8333333333333334,1.0,0.9998066094827027,1.0000811008701158,0.9997811560323275,0.9997370783620729,0.9994435321172477,0.9981409655462505,0.9973034207954772,0.9980451400987279
0.9166666666666666,1.0,0.9998393237870469,1.00012886971026,0.9998140367731273,0.9997545672296314,0.9994631417388514,0.9981732186275668,0.9973438053110703,0.9980693289055096
1.0,1.0,0.9998720345603123,1.0001766335240052,0.9998469139718053,0.9997720541925772,0.9994827493238009,0.9982054686856963,0.9973841861346658,0.9980935154482142
1.0833333333333333,1.0,0.9999047418035388,1.0002243923128464,0.9998797876294042,0.9997895392514571,0.9995023548726746,0.9982377157214677,0.9974245632672664,0.9981176997274692
1.1666666666666665,1.0,0.9999042409730391,1.0002239088375118,0.999879218495487,0.9997890894594715,0.9995014836489581,0.998234229399927,0.997419395105907,0.998116094289775
1.2499999999999998,1.0,0.9999037021851089,1.000223370221707,0.9998786111357814,0.9997886191663189,0.9995005890159938,0.9982307022058267,0.99741417483938,0.9981144593678375
1.3333333333333333,1.0,0.9999031633941493,1.0002228316028738,0.9998780037729618,0.9997881488702233,0.9994996943773142,0.9982271749802093,0.997408954523258,0.9981128244376879
1.4166666666666665,1.0,0.9999026246001601,1.0002222929810125,0.999877396407028,0.9997876785711847,0.9994987997329192,0.9982236477230739,0.9974037341575398,0.9981111894993263
1.4999999999999998,1.0,0.9999020858031413,1.0002217543561225,0.9998767890379799,0.999787208269203,0.9994979050828088,0.99822012043442,0.997398513742224,0.9981095545527524
1.5833333333333333,1.0,0.9999015470030929,1.000221215728204,0.9998761816658177,0.9997867379642781,0.9994970104269825,0.998216593114246,0.9973932932773087,0.998107919597966
1.6666666666666665,1.0,1.0000501441079797,1.0003697653679136,1.000024713991643,0.9998608481292663,0.9995707179554646,0.998287764085414,0.9974628329247229,0.9981809908590077
1.7499999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
