HOUR,B1,M1,M2,M3,B2,B3,B4,B5,B6
0.08333333333333333,0,0,0.38695525767911987,0,0,0,0,0,0
0.16666666666666666,0,0,0.4289438845600224,0,0,0,0,0,0
0.25,0,0,0.4709325114409249,0,0,0,0,0,0
0.3333333333333333,0,0,0.5129211383218274,0,0,0,0,0,0
0.41666666666666663,0,0,0.5549097652027299,0,0,0,0,0,0
0.49999999999999994,0,0,0.5968983920836325,0,0,0,0,0,0
0.5833333333333334,0,0,0.638887018964535,0,0,0,0,0,0
0.6666666666666666,0,0,0.6808756458454375,0,0,0,0,0,0
0.75,0,0,0.72286427272634,0,0,0,0,0,0
0.8333333333333334,0,0,0.7648528996072426,0,0,0,0,0,0
0.9166666666666666,0,0,0.806841526488145,0,0,0,0,0,0
1.0,0,0,0.8488301533690477,0,0,0,0,0,0
1.0833333333333333,0,0,0.8908187802499501,0,0,0,0,0,0
1.1666666666666665,0,0,0.8908667179447565,0,0,0,0,0,0
1.2499999999999998,0,0,0.8908667179447565,0,0,0,0,0,0
1.3333333333333333,0,0,0.8908667179447565,0,0,0,0,0,0
1.4166666666666665,0,0,0.8908667179447565,0,0,0,0,0,0
1.4999999999999998,0,0,0.8908667179447565,0,0,0,0,0,0
1.5833333333333333,0,0,0.8908667179447565,0,0,0,0,0,0
1.6666666666666665,0,0,0.8908667179447565,0,0,0,0,0,0
1.7499999999999998,0,0,0.8908667179447565,0,0,0,0,0,0
