HOUR,B1,M1,M2,M3,B2,B3,B4,B5,B6
0.08333333333333333,0.0,1769.3387468608598,1769.3387468608598,1769.3387468608598,30353.470360208765,30353.470360208765,30353.470360208765,30353.470360208765,30353.470360208765
0.16666666666666666,0.0,884.6693734304299,884.6693734304299,884.6693734304299,15176.735180104382,15176.735180104382,15176.735180104382,15176.735180104382,15176.735180104382
0.25,0.0,589.7795822869532,589.7795822869532,589.7795822869532,10117.823453402922,10117.823453402922,10117.823453402922,10117.823453402922,10117.823453402922
0.3333333333333333,0.0,442.33468671521496,442.33468671521496,442.33468671521496,7588.367590052191,7588.367590052191,7588.367590052191,7588.367590052191,7588.367590052191
0.41666666666666663,0.0,353.86774937217194,353.86774937217194,353.86774937217194,6070.694072041752,6070.694072041752,6070.694072041752,6070.694072041752,6070.694072041752
0.49999999999999994,0.0,294.8897911434766,294.8897911434766,294.8897911434766,5058.911726701461,5058.911726701461,5058.911726701461,5058.911726701461,5058.911726701461
0.5833333333333334,0.0,252.76267812297993,252.76267812297993,252.76267812297993,4336.210051458394,4336.210051458394,4336.210051458394,4336.210051458394,4336.210051458394
0.6666666666666666,0.0,221.16734335760748,221.16734335760748,221.16734335760748,3794.1837950260956,3794.1837950260956,3794.1837950260956,3794.1837950260956,3794.1837950260956
0.75,0.0,196.59319409565109,196.59319409565109,196.59319409565109,3372.607817800974,3372.607817800974,3372.607817800974,3372.607817800974,3372.607817800974
0.8333333333333334,0.0,176.93387468608594,176.93387468608594,176.93387468608594,3035.3470360208757,3035.3470360208757,3035.3470360208757,3035.3470360208757,3035.3470360208757
0.9166666666666666,0.0,160.84897698735088,160.84897698735088,160.84897698735088,2759.4063963826147,2759.4063963826147,2759.4063963826147,2759.4063963826147,2759.4063963826147
1.0,0.0,147.4448955717383,147.4448955717383,147.4448955717383,2529.4558633507304,2529.4558633507304,2529.4558633507304,2529.4558633507304,2529.4558633507304
1.0833333333333333,0.0,136.10298052775843,136.10298052775843,136.10298052775843,2334.8823354006736,2334.8823354006736,2334.8823354006736,2334.8823354006736,2334.8823354006736
1.1666666666666665,0.0,126.38133906149,126.38133906149,126.38133906149,2168.1050257291977,2168.1050257291977,2168.1050257291977,2168.1050257291977,2168.1050257291977
1.2499999999999998,0.0,117.95591645739066,117.95591645739066,117.95591645739066,2023.5646906805844,2023.5646906805844,2023.5646906805844,2023.5646906805844,2023.5646906805844
1.3333333333333333,0.0,110.58367167880374,110.58367167880374,110.58367167880374,1897.0918975130478,1897.0918975130478,1897.0918975130478,1897.0918975130478,1897.0918975130478
1.4166666666666665,0.0,104.07874981534468,104.07874981534468,104.07874981534468,1785.498256482868,1785.498256482868,1785.498256482868,1785.498256482868,1785.498256482868
1.4999999999999998,0.0,98.29659704782554,98.29659704782554,98.29659704782554,1686.303908900487,1686.303908900487,1686.303908900487,1686.303908900487,1686.303908900487
1.5833333333333333,0.0,93.12309194004524,93.12309194004524,93.12309194004524,1597.5510715899347,1597.5510715899347,1597.5510715899347,1597.5510715899347,1597.5510715899347
1.6666666666666665,0.0,88.46693734304299,88.46693734304299,88.46693734304299,1517.673518010438,1517.673518010438,1517.673518010438,1517.673518010438,1517.673518010438
1.7499999999999998,0.0,84.25422604099332,84.25422604099332,84.25422604099332,1445.4033504861316,1445.4033504861316,1445.4033504861316,1445.4033504861316,1445.4033504861316
