Time measured,Instantan lufttemperatur i 2m høyde  (TT),Vindhastighet i 2m 60 min middel (FM2),Globalstråling (Q0)
2019-04-16 07:00:00+02,0.1,0.3,57.7
2019-04-16 08:00:00+02,3.9,0.6,64.8
2019-04-16 09:00:00+02,6.5,1.0,188.9
2019-04-16 10:00:00+02,8.1,0.8,287.3
2019-04-16 11:00:00+02,8.2,1.3,334.5
2019-04-16 12:00:00+02,10.9,2.0,585.8
2019-04-16 13:00:00+02,10.6,2.1,362.6
2019-04-16 14:00:00+02,10.3,2.0,307.3
2019-04-16 15:00:00+02,11.9,2.2,518.3
2019-04-16 16:00:00+02,11.1,1.7,359.7
2019-04-16 17:00:00+02,10.6,1.5,155.3
2019-04-16 18:00:00+02,10.3,1.6,90.1
2019-04-16 19:00:00+02,8.3,1.1,30.6
2019-04-16 20:00:00+02,4.9,0.4,2.8
2019-04-16 21:00:00+02,3.9,0.2,0.0
2019-04-16 22:00:00+02,1.4,0.3,0.0
2019-04-16 23:00:00+02,2.7,0.5,0.0
2019-04-17 00:00:00+02,3.6,0.7,0.0
2019-04-17 01:00:00+02,4.1,0.6,0.0
2019-04-17 02:00:00+02,2.3,0.4,0.0
2019-04-17 03:00:00+02,1.0,0.4,0.0
2019-04-17 04:00:00+02,0.2,0.6,0.0
2019-04-17 05:00:00+02,0.1,0.5,0.0
2019-04-17 06:00:00+02,-0.3,0.6,13.7
2019-04-17 07:00:00+02,2.1,0.7,70.4
2019-04-17 08:00:00+02,4.8,0.9,87.4
2019-04-17 09:00:00+02,7.2,0.6,238.6
2019-04-17 10:00:00+02,9.8,0.8,524.5
2019-04-17 11:00:00+02,11.4,1.1,614.7
2019-04-17 12:00:00+02,13.5,1.1,667.8
2019-04-17 13:00:00+02,14.4,1.4,678.6
2019-04-17 14:00:00+02,15.0,1.2,664.7
2019-04-17 15:00:00+02,15.9,1.2,603.4
2019-04-17 16:00:00+02,15.2,1.1,527.1
2019-04-17 17:00:00+02,14.2,1.4,380.9
2019-04-17 18:00:00+02,13.5,1.1,231.8
2019-04-17 19:00:00+02,11.4,0.8,31.6
2019-04-17 20:00:00+02,7.0,0.4,4.0
2019-04-17 21:00:00+02,5.5,0.2,0.0
2019-04-17 22:00:00+02,3.2,0.1,0.0
2019-04-17 23:00:00+02,2.4,0.2,0.0
2019-04-18 00:00:00+02,2.5,0.1,0.0
2019-04-18 01:00:00+02,1.8,0.2,0.0
2019-04-18 02:00:00+02,1.9,0.2,0.0
2019-04-18 03:00:00+02,0.7,0.1,0.0
2019-04-18 04:00:00+02,1.3,0.2,0.0
2019-04-18 05:00:00+02,1.1,0.2,0.0
2019-04-18 06:00:00+02,1.5,0.3,15.1
2019-04-18 07:00:00+02,4.6,0.4,75.6
2019-04-18 08:00:00+02,7.3,0.6,80.7
2019-04-18 09:00:00+02,10.7,0.8,273.1
2019-04-18 10:00:00+02,13.8,0.8,520.1
2019-04-18 11:00:00+02,16.3,1.0,609.1
2019-04-18 12:00:00+02,16.9,1.1,663.1
2019-04-18 13:00:00+02,18.2,1.1,679.5
2019-04-18 14:00:00+02,18.8,1.3,659.8
2019-04-18 15:00:00+02,18.7,1.5,601.6
2019-04-18 16:00:00+02,18.6,1.3,504.3
2019-04-18 17:00:00+02,17.9,1.3,377.4
2019-04-18 18:00:00+02,17.2,0.9,232.3
2019-04-18 19:00:00+02,14.6,0.4,29.8
2019-04-18 20:00:00+02,10.5,0.0,3.9
2019-04-18 21:00:00+02,7.5,0.0,0.0
2019-04-18 22:00:00+02,6.4,0.1,0.0
2019-04-18 23:00:00+02,3.9,0.3,0.0
2019-04-19 00:00:00+02,3.8,0.2,0.0
2019-04-19 01:00:00+02,2.3,0.1,0.0
2019-04-19 02:00:00+02,1.5,0.2,0.0
2019-04-19 03:00:00+02,1.8,0.1,0.0
2019-04-19 04:00:00+02,1.9,0.2,0.0
2019-04-19 05:00:00+02,-0.2,0.2,0.0
2019-04-19 06:00:00+02,1.6,0.1,17.4
2019-04-19 07:00:00+02,6.0,0.3,85.2
2019-04-19 08:00:00+02,9.1,0.8,74.0
2019-04-19 09:00:00+02,12.5,0.8,328.4
2019-04-19 10:00:00+02,15.0,0.9,506.4
2019-04-19 11:00:00+02,17.8,0.9,620.3
2019-04-19 12:00:00+02,18.9,1.3,669.7
2019-04-19 13:00:00+02,18.7,1.8,663.7
2019-04-19 14:00:00+02,19.1,1.8,595.7
2019-04-19 15:00:00+02,19.6,1.3,517.1
2019-04-19 16:00:00+02,19.6,1.0,437.2
2019-04-19 17:00:00+02,19.5,0.9,363.1
2019-04-19 18:00:00+02,17.3,1.4,194.0
2019-04-19 19:00:00+02,14.4,0.9,49.6
2019-04-19 20:00:00+02,9.8,0.2,8.6
2019-04-19 21:00:00+02,7.1,0.2,0.0
2019-04-19 22:00:00+02,5.8,0.2,0.0
2019-04-19 23:00:00+02,4.5,0.2,0.0
2019-04-20 00:00:00+02,3.8,0.1,0.0
2019-04-20 01:00:00+02,2.7,0.2,0.0
2019-04-20 02:00:00+02,2.0,0.1,0.0
2019-04-20 03:00:00+02,0.7,0.1,0.0
2019-04-20 04:00:00+02,-0.2,0.2,0.0
2019-04-20 05:00:00+02,-0.6,0.3,0.0
2019-04-20 06:00:00+02,-0.1,0.2,19.9
2019-04-20 07:00:00+02,4.1,0.1,82.3
2019-04-20 08:00:00+02,7.4,0.2,75.1
2019-04-20 09:00:00+02,11.2,0.7,369.5
2019-04-20 10:00:00+02,14.4,1.1,542.6
2019-04-20 11:00:00+02,15.2,1.8,639.5
2019-04-20 12:00:00+02,14.7,3.1,690.4
2019-04-20 13:00:00+02,14.7,3.6,708.4
2019-04-20 14:00:00+02,15.1,4.4,687.0
2019-04-20 15:00:00+02,14.7,4.2,619.8
2019-04-20 16:00:00+02,13.5,4.3,515.2
2019-04-20 17:00:00+02,12.9,3.8,390.2
2019-04-20 18:00:00+02,12.1,3.4,221.6
2019-04-20 19:00:00+02,11.2,1.9,50.8
2019-04-20 20:00:00+02,9.3,1.0,8.9
2019-04-20 21:00:00+02,7.5,0.5,0.0
2019-04-20 22:00:00+02,6.1,0.2,0.0
2019-04-20 23:00:00+02,5.3,0.2,0.0
2019-04-21 00:00:00+02,4.7,0.1,0.0
2019-04-21 01:00:00+02,4.1,0.2,0.0
2019-04-21 02:00:00+02,2.7,0.2,0.0
2019-04-21 03:00:00+02,3.3,0.2,0.0
2019-04-21 04:00:00+02,2.2,0.3,0.0
2019-04-21 05:00:00+02,1.5,0.2,0.5
2019-04-21 06:00:00+02,3.0,0.2,39.3
2019-04-21 07:00:00+02,6.1,0.4,94.9
2019-04-21 08:00:00+02,8.9,0.5,126.4
2019-04-21 09:00:00+02,11.1,1.2,299.8
2019-04-21 10:00:00+02,13.7,1.2,470.1
2019-04-21 11:00:00+02,15.7,1.5,568.3
2019-04-21 12:00:00+02,15.7,2.9,650.6
2019-04-21 13:00:00+02,16.0,3.7,602.3
2019-04-21 14:00:00+02,16.2,4.0,604.3
2019-04-21 15:00:00+02,15.2,3.2,557.1
2019-04-21 16:00:00+02,15.1,3.0,492.4
2019-04-21 17:00:00+02,14.4,2.6,378.5
2019-04-21 18:00:00+02,13.6,2.4,225.8
2019-04-21 19:00:00+02,12.4,1.5,59.1
2019-04-21 20:00:00+02,10.4,1.1,5.3
2019-04-21 21:00:00+02,8.9,0.8,0.0
2019-04-21 22:00:00+02,7.0,0.4,0.0
2019-04-21 23:00:00+02,5.5,0.1,0.0
2019-04-22 00:00:00+02,5.9,0.1,0.0
2019-04-22 01:00:00+02,5.3,0.4,0.0
2019-04-22 02:00:00+02,3.7,0.1,0.0
2019-04-22 03:00:00+02,3.0,0.1,0.0
2019-04-22 04:00:00+02,3.3,0.2,0.0
2019-04-22 05:00:00+02,2.9,0.1,1.4
2019-04-22 06:00:00+02,4.0,0.2,44.4
2019-04-22 07:00:00+02,8.3,0.5,101.4
2019-04-22 08:00:00+02,10.0,2.7,123.2
2019-04-22 09:00:00+02,12.0,3.0,380.6
2019-04-22 10:00:00+02,12.9,3.5,525.9
2019-04-22 11:00:00+02,13.9,3.4,583.5
2019-04-22 12:00:00+02,14.1,3.2,628.3
2019-04-22 13:00:00+02,16.0,3.5,628.3
2019-04-22 14:00:00+02,14.4,3.6,638.1
2019-04-22 15:00:00+02,13.9,3.5,599.0
2019-04-22 16:00:00+02,13.9,3.9,517.7
2019-04-22 17:00:00+02,14.1,3.3,393.4
2019-04-22 18:00:00+02,12.8,2.1,253.4
2019-04-22 19:00:00+02,11.0,1.7,52.3
2019-04-22 20:00:00+02,8.1,0.1,9.1
2019-04-22 21:00:00+02,6.1,0.2,0.0
2019-04-22 22:00:00+02,4.4,0.1,0.0
2019-04-22 23:00:00+02,4.3,0.2,0.0
2019-04-23 00:00:00+02,2.8,0.2,0.0
2019-04-23 01:00:00+02,2.3,0.4,0.0
2019-04-23 02:00:00+02,1.0,0.2,0.0
2019-04-23 03:00:00+02,0.3,0.2,0.0
2019-04-23 04:00:00+02,-0.2,0.2,0.0
2019-04-23 05:00:00+02,-0.5,0.2,0.9
2019-04-23 06:00:00+02,0.8,0.1,22.8
2019-04-23 07:00:00+02,5.0,0.4,78.2
2019-04-23 08:00:00+02,9.5,0.5,113.1
2019-04-23 09:00:00+02,13.9,0.7,414.6
2019-04-23 10:00:00+02,18.3,0.9,536.9
2019-04-23 11:00:00+02,17.1,1.5,568.1
2019-04-23 12:00:00+02,17.6,1.7,581.1
2019-04-23 13:00:00+02,20.0,1.4,499.6
2019-04-23 14:00:00+02,19.2,2.3,625.8
2019-04-23 15:00:00+02,19.5,2.5,605.2
2019-04-23 16:00:00+02,19.1,1.3,502.8
2019-04-23 17:00:00+02,19.4,1.2,377.0
2019-04-23 18:00:00+02,18.2,1.2,241.9
2019-04-23 19:00:00+02,16.8,1.0,54.6
2019-04-23 20:00:00+02,14.8,0.9,9.5
2019-04-23 21:00:00+02,13.7,0.9,0.0
2019-04-23 22:00:00+02,12.7,1.0,0.0
2019-04-23 23:00:00+02,12.3,1.1,0.0
2019-04-24 00:00:00+02,11.1,1.1,0.0
2019-04-24 01:00:00+02,10.6,1.0,0.0
2019-04-24 02:00:00+02,10.1,1.3,0.0
2019-04-24 03:00:00+02,10.6,1.2,0.0
2019-04-24 04:00:00+02,10.3,1.4,0.0
2019-04-24 05:00:00+02,10.3,1.5,0.9
2019-04-24 06:00:00+02,10.8,1.9,37.2
2019-04-24 07:00:00+02,11.6,1.7,86.7
2019-04-24 08:00:00+02,13.0,2.1,134.1
2019-04-24 09:00:00+02,14.0,2.0,246.6
2019-04-24 10:00:00+02,17.3,1.9,480.6
2019-04-24 11:00:00+02,17.7,1.5,447.0
2019-04-24 12:00:00+02,19.7,2.1,619.6
2019-04-24 13:00:00+02,20.0,2.3,648.2
2019-04-24 14:00:00+02,19.8,2.5,660.4
2019-04-24 15:00:00+02,19.3,2.5,484.0
2019-04-24 16:00:00+02,18.3,2.4,240.3
2019-04-24 17:00:00+02,15.4,1.8,73.6
2019-04-24 18:00:00+02,16.9,1.5,44.2
2019-04-24 19:00:00+02,16.2,1.7,19.6
2019-04-24 20:00:00+02,15.6,1.5,4.0
2019-04-24 21:00:00+02,15.2,1.4,0.0
2019-04-24 22:00:00+02,14.9,1.2,0.0
2019-04-24 23:00:00+02,14.5,1.3,0.0
2019-04-25 00:00:00+02,14.4,1.4,0.0
2019-04-25 01:00:00+02,14.0,1.3,0.0
2019-04-25 02:00:00+02,13.5,1.1,0.0
2019-04-25 03:00:00+02,13.3,1.0,0.0
2019-04-25 04:00:00+02,13.2,1.2,0.0
2019-04-25 05:00:00+02,13.0,1.0,0.0
2019-04-25 06:00:00+02,12.9,0.9,10.5
2019-04-25 07:00:00+02,13.0,1.1,20.1
2019-04-25 08:00:00+02,13.0,1.4,20.5
2019-04-25 09:00:00+02,13.1,1.6,34.8
2019-04-25 10:00:00+02,13.7,1.5,72.3
2019-04-25 11:00:00+02,15.0,1.7,173.7
2019-04-25 12:00:00+02,16.0,1.5,151.8
2019-04-25 13:00:00+02,17.5,1.8,253.2
2019-04-25 14:00:00+02,18.0,1.6,239.7
2019-04-25 15:00:00+02,17.8,1.6,136.8
2019-04-25 16:00:00+02,17.6,1.2,52.8
2019-04-25 17:00:00+02,17.5,1.1,36.5
2019-04-25 18:00:00+02,16.1,1.1,23.8
2019-04-25 19:00:00+02,16.0,1.0,8.3
2019-04-25 20:00:00+02,15.9,1.1,2.2
2019-04-25 21:00:00+02,15.2,0.8,0.0
2019-04-25 22:00:00+02,14.1,0.3,0.0
2019-04-25 23:00:00+02,14.0,0.7,0.0
2019-04-26 00:00:00+02,12.9,0.6,0.0
2019-04-26 01:00:00+02,12.7,0.8,0.0
2019-04-26 02:00:00+02,12.1,0.9,0.0
2019-04-26 03:00:00+02,11.3,0.4,0.0
2019-04-26 04:00:00+02,11.0,0.9,0.0
2019-04-26 05:00:00+02,10.1,1.1,1.7
2019-04-26 06:00:00+02,10.3,0.5,17.3
2019-04-26 07:00:00+02,11.2,0.7,64.6
2019-04-26 08:00:00+02,12.8,1.8,157.3
2019-04-26 09:00:00+02,14.3,1.7,392.6
2019-04-26 10:00:00+02,16.0,1.5,466.4
2019-04-26 11:00:00+02,17.3,1.2,388.8
2019-04-26 12:00:00+02,18.3,1.3,591.4
2019-04-26 13:00:00+02,20.3,1.3,657.9
2019-04-26 14:00:00+02,19.9,1.4,460.3
2019-04-26 15:00:00+02,21.7,1.7,474.4
2019-04-26 16:00:00+02,21.4,1.6,419.2
2019-04-26 17:00:00+02,20.6,1.5,255.0
2019-04-26 18:00:00+02,20.2,1.0,141.5
2019-04-26 19:00:00+02,19.3,0.9,65.0
2019-04-26 20:00:00+02,17.7,0.7,12.9
2019-04-26 21:00:00+02,15.0,0.4,0.0
2019-04-26 22:00:00+02,14.1,0.8,0.0
2019-04-26 23:00:00+02,13.9,1.0,0.0
2019-04-27 00:00:00+02,14.5,0.8,0.0
2019-04-27 01:00:00+02,14.6,1.0,0.0
2019-04-27 02:00:00+02,13.7,0.9,0.0
2019-04-27 03:00:00+02,13.4,0.7,0.0
2019-04-27 04:00:00+02,13.1,1.0,0.0
2019-04-27 05:00:00+02,12.4,0.7,2.4
2019-04-27 06:00:00+02,13.0,1.0,31.3
2019-04-27 07:00:00+02,13.5,1.9,131.4
2019-04-27 08:00:00+02,13.6,1.6,116.6
2019-04-27 09:00:00+02,14.4,1.6,167.5
2019-04-27 10:00:00+02,16.1,1.9,367.0
2019-04-27 11:00:00+02,17.5,1.9,420.9
2019-04-27 12:00:00+02,18.6,1.8,292.8
2019-04-27 13:00:00+02,19.7,1.7,256.5
2019-04-27 14:00:00+02,19.3,1.3,163.2
2019-04-27 15:00:00+02,16.7,1.4,30.9
2019-04-27 16:00:00+02,13.9,0.6,20.4
2019-04-27 17:00:00+02,13.3,0.6,27.0
2019-04-27 18:00:00+02,13.0,0.4,21.0
2019-04-27 19:00:00+02,12.7,0.4,6.0
2019-04-27 20:00:00+02,13.0,0.9,2.0
2019-04-27 21:00:00+02,12.8,0.9,0.0
2019-04-27 22:00:00+02,12.7,0.8,0.0
2019-04-27 23:00:00+02,12.6,1.0,0.0
2019-04-28 00:00:00+02,12.2,0.9,0.0
2019-04-28 01:00:00+02,11.8,0.8,0.0
2019-04-28 02:00:00+02,11.7,1.1,0.0
2019-04-28 03:00:00+02,11.4,1.4,0.0
2019-04-28 04:00:00+02,10.5,1.3,0.0
2019-04-28 05:00:00+02,10.1,1.4,1.4
2019-04-28 06:00:00+02,10.2,1.7,14.2
2019-04-28 07:00:00+02,10.5,1.0,51.4
2019-04-28 08:00:00+02,11.3,0.9,105.9
2019-04-28 09:00:00+02,12.4,1.2,190.4
2019-04-28 10:00:00+02,13.4,2.4,436.8
2019-04-28 11:00:00+02,15.3,1.4,473.4
2019-04-28 12:00:00+02,16.7,1.2,567.4
2019-04-28 13:00:00+02,20.2,1.2,523.9
2019-04-28 14:00:00+02,21.3,1.5,679.0
2019-04-28 15:00:00+02,21.4,1.6,619.0
2019-04-28 16:00:00+02,21.5,1.6,525.0
2019-04-28 17:00:00+02,20.4,1.1,271.5
2019-04-28 18:00:00+02,19.3,1.0,160.2
2019-04-28 19:00:00+02,18.3,0.9,77.4
2019-04-28 20:00:00+02,14.7,0.1,13.6
2019-04-28 21:00:00+02,10.7,0.1,0.0
2019-04-28 22:00:00+02,8.9,0.0,0.0
2019-04-28 23:00:00+02,8.0,0.1,0.0
2019-04-29 00:00:00+02,7.7,0.1,0.0
2019-04-29 01:00:00+02,7.4,0.2,0.0
2019-04-29 02:00:00+02,7.9,0.4,0.0
2019-04-29 03:00:00+02,5.3,0.1,0.0
2019-04-29 04:00:00+02,4.4,0.3,0.0
2019-04-29 05:00:00+02,4.4,0.1,5.6
2019-04-29 06:00:00+02,5.6,0.3,34.5
2019-04-29 07:00:00+02,8.4,0.6,86.9
2019-04-29 08:00:00+02,11.3,0.4,179.1
2019-04-29 09:00:00+02,13.8,0.7,424.7
2019-04-29 10:00:00+02,15.8,1.0,542.3
2019-04-29 11:00:00+02,17.4,1.3,629.5
2019-04-29 12:00:00+02,18.9,1.5,688.6
2019-04-29 13:00:00+02,19.1,1.7,704.5
2019-04-29 14:00:00+02,19.0,2.2,680.8
2019-04-29 15:00:00+02,19.9,2.2,618.8
2019-04-29 16:00:00+02,20.8,1.8,517.3
2019-04-29 17:00:00+02,21.7,1.5,399.4
2019-04-29 18:00:00+02,21.4,1.2,255.6
2019-04-29 19:00:00+02,18.0,0.8,79.8
2019-04-29 20:00:00+02,14.6,0.2,19.4
2019-04-29 21:00:00+02,12.7,0.1,0.0
2019-04-29 22:00:00+02,11.2,0.2,0.0
2019-04-29 23:00:00+02,11.2,0.2,0.0
2019-04-30 00:00:00+02,10.9,0.2,0.0
2019-04-30 01:00:00+02,11.3,0.1,0.0
2019-04-30 02:00:00+02,10.7,0.1,0.0
2019-04-30 03:00:00+02,13.1,0.2,0.0
2019-04-30 04:00:00+02,13.7,0.4,0.0
2019-04-30 05:00:00+02,13.5,0.4,4.5
2019-04-30 06:00:00+02,14.0,0.2,31.2
2019-04-30 07:00:00+02,15.1,0.5,85.2
2019-04-30 08:00:00+02,16.3,0.6,179.2
2019-04-30 09:00:00+02,17.9,1.0,412.5
2019-04-30 10:00:00+02,18.1,0.8,400.1
2019-04-30 11:00:00+02,18.4,0.9,291.5
2019-04-30 12:00:00+02,19.1,0.9,296.6
2019-04-30 13:00:00+02,20.2,0.8,344.1
2019-04-30 14:00:00+02,20.7,1.3,365.2
2019-04-30 15:00:00+02,21.1,1.2,305.7
2019-04-30 16:00:00+02,20.8,0.7,263.6
2019-04-30 17:00:00+02,18.8,0.9,125.0
2019-04-30 18:00:00+02,18.4,1.4,89.5
2019-04-30 19:00:00+02,16.9,1.7,51.0
2019-04-30 20:00:00+02,15.4,1.4,17.1
2019-04-30 21:00:00+02,11.3,0.3,0.0
2019-04-30 22:00:00+02,10.1,0.1,0.0
2019-04-30 23:00:00+02,10.5,0.2,0.0
2019-05-01 00:00:00+02,8.2,0.0,0.0
2019-05-01 01:00:00+02,8.7,0.1,0.0
2019-05-01 02:00:00+02,8.4,0.2,0.0
2019-05-01 03:00:00+02,8.3,0.3,0.0
2019-05-01 04:00:00+02,6.5,0.2,0.0
2019-05-01 05:00:00+02,6.3,0.1,4.2
2019-05-01 06:00:00+02,8.7,0.2,40.6
2019-05-01 07:00:00+02,12.3,0.5,125.7
2019-05-01 08:00:00+02,14.2,1.1,232.9
2019-05-01 09:00:00+02,15.5,1.4,395.0
2019-05-01 10:00:00+02,15.6,1.1,392.1
2019-05-01 11:00:00+02,17.1,1.2,626.2
2019-05-01 12:00:00+02,16.8,1.3,516.9
2019-05-01 13:00:00+02,17.6,1.1,374.4
2019-05-01 14:00:00+02,18.3,1.3,554.6
2019-05-01 15:00:00+02,17.9,1.1,446.7
2019-05-01 16:00:00+02,17.0,1.1,259.8
2019-05-01 17:00:00+02,16.6,0.6,161.8
2019-05-01 18:00:00+02,15.0,1.6,100.0
2019-05-01 19:00:00+02,14.1,1.8,95.4
2019-05-01 20:00:00+02,14.7,0.9,24.2
2019-05-01 21:00:00+02,14.3,2.1,0.0
2019-05-01 22:00:00+02,13.6,2.6,0.0
2019-05-01 23:00:00+02,12.6,2.4,0.0
2019-05-02 00:00:00+02,12.1,2.9,0.0
2019-05-02 01:00:00+02,11.3,3.0,0.0
2019-05-02 02:00:00+02,10.5,2.6,0.0
2019-05-02 03:00:00+02,10.4,3.2,0.0
2019-05-02 04:00:00+02,9.0,2.5,0.0
2019-05-02 05:00:00+02,5.7,2.4,2.0
2019-05-02 06:00:00+02,4.9,1.2,14.1
2019-05-02 07:00:00+02,5.8,1.1,83.0
2019-05-02 08:00:00+02,7.5,1.3,238.9
2019-05-02 09:00:00+02,8.5,1.7,462.5
2019-05-02 10:00:00+02,9.2,2.2,454.7
2019-05-02 11:00:00+02,9.0,2.8,565.5
2019-05-02 12:00:00+02,10.6,2.6,564.6
2019-05-02 13:00:00+02,11.5,1.9,671.4
2019-05-02 14:00:00+02,9.8,1.9,383.5
2019-05-02 15:00:00+02,10.6,2.2,522.3
2019-05-02 16:00:00+02,9.5,1.7,344.7
2019-05-02 17:00:00+02,8.8,2.7,255.9
2019-05-02 18:00:00+02,8.3,1.8,302.0
2019-05-02 19:00:00+02,7.5,1.3,63.8
2019-05-02 20:00:00+02,5.8,0.9,16.0
2019-05-02 21:00:00+02,6.5,0.9,0.0
2019-05-02 22:00:00+02,4.3,0.6,0.0
2019-05-02 23:00:00+02,5.3,0.8,0.0
2019-05-03 00:00:00+02,4.4,1.0,0.0
2019-05-03 01:00:00+02,3.6,0.7,0.0
2019-05-03 02:00:00+02,2.4,0.6,0.0
2019-05-03 03:00:00+02,1.0,0.5,0.0
2019-05-03 04:00:00+02,-2.4,0.2,0.0
2019-05-03 05:00:00+02,-2.4,0.3,7.3
2019-05-03 06:00:00+02,-0.0,0.2,27.8
2019-05-03 07:00:00+02,4.1,0.2,85.8
2019-05-03 08:00:00+02,5.6,0.6,330.8
2019-05-03 09:00:00+02,6.7,1.0,496.7
2019-05-03 10:00:00+02,7.9,1.2,599.9
2019-05-03 11:00:00+02,9.4,1.3,764.9
2019-05-03 12:00:00+02,9.1,2.7,852.0
2019-05-03 13:00:00+02,9.5,2.8,814.0
2019-05-03 14:00:00+02,9.5,2.5,834.0
2019-05-03 15:00:00+02,4.4,2.4,495.1
2019-05-03 16:00:00+02,5.7,2.2,344.9
2019-05-03 17:00:00+02,7.3,1.4,400.0
2019-05-03 18:00:00+02,6.0,1.2,252.4
2019-05-03 19:00:00+02,3.8,1.6,35.0
2019-05-03 20:00:00+02,3.4,0.9,24.7
2019-05-03 21:00:00+02,3.4,1.0,0.0
2019-05-03 22:00:00+02,2.8,1.2,0.0
2019-05-03 23:00:00+02,2.3,1.3,0.0
2019-05-04 00:00:00+02,1.8,1.3,0.0
2019-05-04 01:00:00+02,1.3,1.1,0.0
2019-05-04 02:00:00+02,0.9,1.1,0.0
2019-05-04 03:00:00+02,0.8,1.0,0.0
2019-05-04 04:00:00+02,0.2,0.8,0.0
2019-05-04 05:00:00+02,0.2,0.8,11.0
2019-05-04 06:00:00+02,1.3,0.7,51.8
2019-05-04 07:00:00+02,3.5,0.8,126.9
2019-05-04 08:00:00+02,4.7,1.2,267.0
2019-05-04 09:00:00+02,5.8,1.4,378.0
2019-05-04 10:00:00+02,7.1,1.5,450.1
2019-05-04 11:00:00+02,6.8,2.2,591.5
2019-05-04 12:00:00+02,8.6,1.6,647.0
2019-05-04 13:00:00+02,11.3,1.6,689.3
2019-05-04 14:00:00+02,10.5,1.4,441.2
2019-05-04 15:00:00+02,10.2,1.4,368.8
2019-05-04 16:00:00+02,10.8,1.7,503.2
2019-05-04 17:00:00+02,8.9,2.1,379.4
2019-05-04 18:00:00+02,6.4,1.0,77.9
2019-05-04 19:00:00+02,6.4,0.4,94.8
2019-05-04 20:00:00+02,5.5,0.5,31.1
2019-05-04 21:00:00+02,4.2,0.2,0.0
2019-05-04 22:00:00+02,4.3,0.4,0.0
2019-05-04 23:00:00+02,1.6,0.2,0.0
2019-05-05 00:00:00+02,0.3,0.1,0.0
2019-05-05 01:00:00+02,-0.3,0.2,0.0
2019-05-05 02:00:00+02,-0.7,0.3,0.0
2019-05-05 03:00:00+02,-0.9,0.3,0.0
2019-05-05 04:00:00+02,-1.4,0.3,0.0
2019-05-05 05:00:00+02,-1.4,0.3,10.5
2019-05-05 06:00:00+02,1.0,0.2,53.2
2019-05-05 07:00:00+02,6.0,0.8,150.4
2019-05-05 08:00:00+02,6.6,1.3,266.4
2019-05-05 09:00:00+02,7.5,1.5,308.3
2019-05-05 10:00:00+02,8.6,1.5,444.6
2019-05-05 11:00:00+02,9.5,1.7,467.8
2019-05-05 12:00:00+02,9.5,3.1,636.3
2019-05-05 13:00:00+02,9.5,3.1,665.9
2019-05-05 14:00:00+02,12.3,2.3,656.3
2019-05-05 15:00:00+02,10.0,3.9,546.8
2019-05-05 16:00:00+02,9.6,3.4,204.5
2019-05-05 17:00:00+02,11.0,2.5,215.5
2019-05-05 18:00:00+02,9.9,3.3,301.0
2019-05-05 19:00:00+02,9.3,2.7,120.8
2019-05-05 20:00:00+02,7.0,2.3,20.4
2019-05-05 21:00:00+02,6.0,1.3,0.4
2019-05-05 22:00:00+02,5.1,0.4,0.0
2019-05-05 23:00:00+02,4.4,0.4,0.0
2019-05-06 00:00:00+02,4.2,0.3,0.0
2019-05-06 01:00:00+02,2.8,0.3,0.0
2019-05-06 02:00:00+02,3.4,0.4,0.0
2019-05-06 03:00:00+02,2.1,0.2,0.0
2019-05-06 04:00:00+02,2.9,0.4,0.0
2019-05-06 05:00:00+02,3.1,0.5,8.5
2019-05-06 06:00:00+02,4.0,0.6,43.6
2019-05-06 07:00:00+02,5.4,0.8,103.4
2019-05-06 08:00:00+02,5.6,1.3,164.0
2019-05-06 09:00:00+02,4.1,1.6,150.2
2019-05-06 10:00:00+02,4.7,2.2,216.7
2019-05-06 11:00:00+02,4.7,2.3,333.2
2019-05-06 12:00:00+02,4.1,2.3,245.1
2019-05-06 13:00:00+02,4.7,2.8,316.5
2019-05-06 14:00:00+02,5.4,2.3,326.7
2019-05-06 15:00:00+02,4.6,1.8,310.1
2019-05-06 16:00:00+02,4.8,1.4,169.3
2019-05-06 17:00:00+02,4.5,1.6,214.5
2019-05-06 18:00:00+02,3.8,2.2,115.6
2019-05-06 19:00:00+02,3.3,2.2,26.9
2019-05-06 20:00:00+02,3.2,2.5,8.0
2019-05-06 21:00:00+02,3.4,2.7,0.5
2019-05-06 22:00:00+02,3.5,2.4,0.0
2019-05-06 23:00:00+02,2.5,1.2,0.0
2019-05-07 00:00:00+02,2.4,1.6,0.0
2019-05-07 01:00:00+02,2.6,1.5,0.0
2019-05-07 02:00:00+02,2.9,1.3,0.0
2019-05-07 03:00:00+02,3.3,2.5,0.0
2019-05-07 04:00:00+02,3.3,1.8,0.0
2019-05-07 05:00:00+02,3.2,2.1,15.0
2019-05-07 06:00:00+02,3.3,1.7,41.3
2019-05-07 07:00:00+02,4.5,1.4,97.6
2019-05-07 08:00:00+02,5.5,1.8,356.6
2019-05-07 09:00:00+02,6.5,1.6,511.4
2019-05-07 10:00:00+02,7.9,1.5,629.2
2019-05-07 11:00:00+02,8.2,1.6,699.5
2019-05-07 12:00:00+02,8.5,1.8,772.7
2019-05-07 13:00:00+02,8.9,1.2,673.5
2019-05-07 14:00:00+02,9.8,2.5,735.1
2019-05-07 15:00:00+02,8.7,4.1,671.5
2019-05-07 16:00:00+02,8.1,3.8,377.8
2019-05-07 17:00:00+02,7.8,3.9,386.1
