Time measured,Instantan lufttemperatur i 2m høyde  (TT),Vindhastighet i 2m 60 min middel (FM2),Globalstråling (Q0)
2019-01-05 18:00:00+01,-1.6,0.1,0.0
2019-01-05 19:00:00+01,-1.4,0.1,0.0
2019-01-05 20:00:00+01,-1.5,0.3,0.0
2019-01-05 21:00:00+01,-2.2,0.4,0.0
2019-01-05 22:00:00+01,-2.5,0.3,0.0
2019-01-05 23:00:00+01,-1.9,0.2,0.0
2019-01-06 00:00:00+01,-2.4,0.2,0.0
2019-01-06 01:00:00+01,-3.3,0.4,0.0
2019-01-06 02:00:00+01,-3.9,0.2,0.0
2019-01-06 03:00:00+01,-3.3,0.3,0.0
2019-01-06 04:00:00+01,-4.3,0.4,0.0
2019-01-06 05:00:00+01,-4.5,0.3,0.0
2019-01-06 06:00:00+01,-4.6,0.2,0.0
2019-01-06 07:00:00+01,-3.8,0.3,0.0
2019-01-06 08:00:00+01,-2.9,0.4,0.2
2019-01-06 09:00:00+01,-2.4,0.4,6.5
2019-01-06 10:00:00+01,-2.1,0.2,19.4
2019-01-06 11:00:00+01,-1.5,0.3,30.0
2019-01-06 12:00:00+01,-0.9,0.2,33.0
2019-01-06 13:00:00+01,-0.7,0.3,31.5
2019-01-06 14:00:00+01,-1.2,0.3,15.2
2019-01-06 15:00:00+01,-1.5,0.3,3.2
2019-01-06 16:00:00+01,-1.1,0.6,0.0
2019-01-06 17:00:00+01,-1.5,0.7,0.0
2019-01-06 18:00:00+01,-2.0,0.4,0.0
2019-01-06 19:00:00+01,-2.2,0.5,0.0
2019-01-06 20:00:00+01,-2.0,0.5,0.0
2019-01-06 21:00:00+01,-2.1,0.5,0.0
2019-01-06 22:00:00+01,-2.6,0.6,0.0
2019-01-06 23:00:00+01,-3.0,0.6,0.0
2019-01-07 00:00:00+01,-3.5,0.5,0.0
2019-01-07 01:00:00+01,-3.6,0.4,0.0
2019-01-07 02:00:00+01,-3.7,0.4,0.0
2019-01-07 03:00:00+01,-3.2,0.5,0.0
2019-01-07 04:00:00+01,-4.0,0.5,0.0
2019-01-07 05:00:00+01,-4.4,0.3,0.0
2019-01-07 06:00:00+01,-4.2,0.4,0.0
2019-01-07 07:00:00+01,-3.9,0.3,0.0
2019-01-07 08:00:00+01,-3.6,0.5,0.1
2019-01-07 09:00:00+01,-3.0,0.3,3.9
2019-01-07 10:00:00+01,-2.7,0.1,10.9
2019-01-07 11:00:00+01,-2.2,0.3,17.6
2019-01-07 12:00:00+01,-1.8,0.2,24.2
2019-01-07 13:00:00+01,-1.4,0.4,11.5
2019-01-07 14:00:00+01,-1.2,0.3,3.4
2019-01-07 15:00:00+01,-1.1,0.2,0.8
2019-01-07 16:00:00+01,-0.2,0.2,0.4
2019-01-07 17:00:00+01,0.1,0.8,0.0
2019-01-07 18:00:00+01,0.2,0.7,0.0
2019-01-07 19:00:00+01,0.5,1.2,0.0
2019-01-07 20:00:00+01,0.7,1.0,0.0
2019-01-07 21:00:00+01,0.2,0.7,0.0
2019-01-07 22:00:00+01,0.3,1.0,0.0
2019-01-07 23:00:00+01,0.2,0.7,0.0
2019-01-08 00:00:00+01,0.2,0.9,0.0
2019-01-08 01:00:00+01,0.2,0.6,0.0
2019-01-08 02:00:00+01,0.2,1.2,0.0
2019-01-08 03:00:00+01,0.2,1.2,0.0
2019-01-08 04:00:00+01,0.2,1.5,0.0
2019-01-08 05:00:00+01,0.6,1.7,0.0
2019-01-08 06:00:00+01,0.5,1.5,0.0
2019-01-08 07:00:00+01,0.6,1.7,0.0
2019-01-08 08:00:00+01,0.8,1.7,0.0
2019-01-08 09:00:00+01,1.0,1.9,8.2
2019-01-08 10:00:00+01,1.1,1.8,33.2
2019-01-08 11:00:00+01,1.2,1.9,44.5
2019-01-08 12:00:00+01,1.4,2.0,32.2
2019-01-08 13:00:00+01,1.7,1.7,36.1
2019-01-08 14:00:00+01,1.9,1.8,25.8
2019-01-08 15:00:00+01,2.0,1.3,3.6
2019-01-08 16:00:00+01,1.6,1.4,0.0
2019-01-08 17:00:00+01,1.8,1.3,0.0
2019-01-08 18:00:00+01,1.5,1.1,0.0
2019-01-08 19:00:00+01,1.6,1.1,0.0
2019-01-08 20:00:00+01,1.7,1.6,0.0
2019-01-08 21:00:00+01,0.9,0.8,0.0
2019-01-08 22:00:00+01,1.7,1.1,0.0
2019-01-08 23:00:00+01,1.5,1.6,0.0
2019-01-09 00:00:00+01,1.4,1.9,0.0
2019-01-09 01:00:00+01,0.9,1.8,0.0
2019-01-09 02:00:00+01,0.7,1.6,0.0
2019-01-09 03:00:00+01,0.3,1.2,0.0
2019-01-09 04:00:00+01,-0.6,0.8,0.0
2019-01-09 05:00:00+01,-0.0,0.8,0.0
2019-01-09 06:00:00+01,-0.2,0.9,0.0
2019-01-09 07:00:00+01,0.0,1.0,0.0
2019-01-09 08:00:00+01,-0.1,0.7,0.0
2019-01-09 09:00:00+01,0.1,0.9,7.3
2019-01-09 10:00:00+01,1.4,1.2,36.3
2019-01-09 11:00:00+01,2.2,1.2,109.6
2019-01-09 12:00:00+01,2.3,1.2,117.4
2019-01-09 13:00:00+01,2.1,0.8,98.6
2019-01-09 14:00:00+01,0.9,0.7,32.0
2019-01-09 15:00:00+01,-0.5,0.5,5.8
2019-01-09 16:00:00+01,-1.3,0.2,0.0
2019-01-09 17:00:00+01,-2.5,0.1,0.0
2019-01-09 18:00:00+01,-3.1,0.2,0.0
2019-01-09 19:00:00+01,-2.9,0.1,0.0
2019-01-09 20:00:00+01,-3.4,0.2,0.0
2019-01-09 21:00:00+01,-4.5,0.1,0.0
2019-01-09 22:00:00+01,-4.8,0.1,0.0
2019-01-09 23:00:00+01,-4.6,0.0,0.0
2019-01-10 00:00:00+01,-5.3,0.1,0.0
2019-01-10 01:00:00+01,-5.6,0.1,0.0
2019-01-10 02:00:00+01,-6.0,0.0,0.0
2019-01-10 03:00:00+01,-5.9,0.1,0.0
2019-01-10 04:00:00+01,-5.0,0.1,0.0
2019-01-10 05:00:00+01,-3.4,0.5,0.0
2019-01-10 06:00:00+01,-2.4,0.6,0.0
2019-01-10 07:00:00+01,-1.9,0.6,0.0
2019-01-10 08:00:00+01,-1.4,0.9,0.0
2019-01-10 09:00:00+01,-1.1,0.9,8.3
2019-01-10 10:00:00+01,-1.2,0.7,31.6
2019-01-10 11:00:00+01,-0.1,0.5,54.7
2019-01-10 12:00:00+01,2.0,1.5,46.0
2019-01-10 13:00:00+01,2.6,1.6,69.0
2019-01-10 14:00:00+01,2.1,2.2,37.4
2019-01-10 15:00:00+01,1.6,2.1,6.4
2019-01-10 16:00:00+01,1.9,1.9,0.0
2019-01-10 17:00:00+01,1.1,0.7,0.0
2019-01-10 18:00:00+01,-0.1,0.8,0.0
2019-01-10 19:00:00+01,0.2,0.2,0.0
2019-01-10 20:00:00+01,-0.3,0.3,0.0
2019-01-10 21:00:00+01,-0.6,0.3,0.0
2019-01-10 22:00:00+01,1.1,0.3,0.0
2019-01-10 23:00:00+01,5.6,1.7,0.0
2019-01-11 00:00:00+01,6.5,2.1,0.0
2019-01-11 01:00:00+01,6.7,1.3,0.0
2019-01-11 02:00:00+01,6.5,2.2,0.0
2019-01-11 03:00:00+01,6.8,1.5,0.0
2019-01-11 04:00:00+01,6.2,1.8,0.0
2019-01-11 05:00:00+01,6.5,1.9,0.0
2019-01-11 06:00:00+01,6.0,1.7,0.0
2019-01-11 07:00:00+01,5.3,2.1,0.0
2019-01-11 08:00:00+01,5.3,0.7,0.0
2019-01-11 09:00:00+01,1.5,0.3,4.1
2019-01-11 10:00:00+01,2.9,0.4,31.0
2019-01-11 11:00:00+01,1.3,0.2,46.4
2019-01-11 12:00:00+01,1.7,0.2,61.6
2019-01-11 13:00:00+01,1.5,0.3,82.2
2019-01-11 14:00:00+01,1.0,0.3,43.0
2019-01-11 15:00:00+01,-0.8,0.3,4.6
2019-01-11 16:00:00+01,-2.4,0.5,0.0
2019-01-11 17:00:00+01,-2.9,0.4,0.0
2019-01-11 18:00:00+01,-3.4,0.3,0.0
2019-01-11 19:00:00+01,-4.0,0.3,0.0
2019-01-11 20:00:00+01,-4.3,0.2,0.0
2019-01-11 21:00:00+01,-4.9,0.1,0.0
2019-01-11 22:00:00+01,-4.6,0.4,0.0
2019-01-11 23:00:00+01,-4.9,0.3,0.0
2019-01-12 00:00:00+01,-5.1,0.2,0.0
2019-01-12 01:00:00+01,-5.4,0.2,0.0
2019-01-12 02:00:00+01,-6.0,0.1,0.0
2019-01-12 03:00:00+01,-7.0,0.2,0.0
2019-01-12 04:00:00+01,-7.0,0.3,0.0
2019-01-12 05:00:00+01,-6.7,0.3,0.0
2019-01-12 06:00:00+01,-7.1,0.3,0.0
2019-01-12 07:00:00+01,-6.8,0.4,0.0
2019-01-12 08:00:00+01,-6.7,0.2,0.0
2019-01-12 09:00:00+01,-6.1,0.4,5.5
2019-01-12 10:00:00+01,-5.2,0.2,22.9
2019-01-12 11:00:00+01,-4.2,0.7,52.0
2019-01-12 12:00:00+01,-4.6,0.3,37.0
2019-01-12 13:00:00+01,-3.5,0.4,48.7
2019-01-12 14:00:00+01,-3.4,0.6,35.0
2019-01-12 15:00:00+01,-3.8,0.3,4.5
2019-01-12 16:00:00+01,-3.5,0.2,0.0
2019-01-12 17:00:00+01,-3.8,0.0,0.0
2019-01-12 18:00:00+01,-3.8,0.1,0.0
2019-01-12 19:00:00+01,-4.9,0.2,0.0
2019-01-12 20:00:00+01,-5.4,0.2,0.0
2019-01-12 21:00:00+01,-6.3,0.4,0.0
2019-01-12 22:00:00+01,-7.3,0.4,0.0
2019-01-12 23:00:00+01,-8.0,0.3,0.0
2019-01-13 00:00:00+01,-7.6,0.4,0.0
2019-01-13 01:00:00+01,-7.4,0.2,0.0
2019-01-13 02:00:00+01,-6.4,0.3,0.0
2019-01-13 03:00:00+01,-5.6,0.6,0.0
2019-01-13 04:00:00+01,-4.3,0.6,0.0
2019-01-13 05:00:00+01,-3.6,0.7,0.0
2019-01-13 06:00:00+01,-2.6,0.6,0.3
2019-01-13 07:00:00+01,-1.6,0.4,0.9
2019-01-13 08:00:00+01,-1.2,0.4,0.0
2019-01-13 09:00:00+01,0.1,1.5,7.8
2019-01-13 10:00:00+01,0.6,1.6,36.5
2019-01-13 11:00:00+01,1.5,0.9,74.9
2019-01-13 12:00:00+01,-0.3,0.3,49.1
2019-01-13 13:00:00+01,0.1,0.3,94.0
2019-01-13 14:00:00+01,-0.9,0.7,43.5
2019-01-13 15:00:00+01,-1.7,0.8,11.9
2019-01-13 16:00:00+01,-1.9,0.9,0.0
2019-01-13 17:00:00+01,-2.9,0.5,0.0
2019-01-13 18:00:00+01,-4.1,0.2,0.0
2019-01-13 19:00:00+01,-4.1,0.4,0.0
2019-01-13 20:00:00+01,-4.8,0.5,0.0
2019-01-13 21:00:00+01,-6.0,0.2,0.0
2019-01-13 22:00:00+01,-0.3,1.0,0.0
2019-01-13 23:00:00+01,-0.4,1.9,0.0
2019-01-14 00:00:00+01,-0.5,2.2,0.0
2019-01-14 01:00:00+01,-0.5,3.8,0.0
2019-01-14 02:00:00+01,-0.8,3.8,0.0
2019-01-14 03:00:00+01,-1.3,3.6,0.0
2019-01-14 04:00:00+01,-1.4,3.5,0.0
2019-01-14 05:00:00+01,-1.0,4.0,0.0
2019-01-14 06:00:00+01,-1.1,4.5,0.0
2019-01-14 07:00:00+01,-1.1,4.2,0.0
2019-01-14 08:00:00+01,-0.6,3.5,0.0
2019-01-14 09:00:00+01,0.2,3.7,10.2
2019-01-14 10:00:00+01,1.4,4.3,57.6
2019-01-14 11:00:00+01,1.5,3.5,48.4
2019-01-14 12:00:00+01,2.6,3.5,130.5
2019-01-14 13:00:00+01,2.9,3.3,122.6
2019-01-14 14:00:00+01,3.0,3.5,48.3
2019-01-14 15:00:00+01,3.0,4.2,12.0
2019-01-14 16:00:00+01,2.7,4.3,0.0
2019-01-14 17:00:00+01,2.5,4.2,0.0
2019-01-14 18:00:00+01,2.3,4.1,0.0
2019-01-14 19:00:00+01,2.0,3.5,0.0
2019-01-14 20:00:00+01,1.8,2.9,0.0
2019-01-14 21:00:00+01,0.9,2.2,0.0
2019-01-14 22:00:00+01,0.8,1.6,0.0
2019-01-14 23:00:00+01,-0.0,1.6,0.0
2019-01-15 00:00:00+01,0.2,1.6,0.0
2019-01-15 01:00:00+01,-1.0,0.9,0.0
2019-01-15 02:00:00+01,-0.5,1.1,0.0
2019-01-15 03:00:00+01,-0.2,1.9,0.0
2019-01-15 04:00:00+01,-1.4,1.2,0.0
2019-01-15 05:00:00+01,-3.0,0.3,0.0
2019-01-15 06:00:00+01,-2.9,0.3,0.0
2019-01-15 07:00:00+01,-3.4,0.2,0.0
2019-01-15 08:00:00+01,-3.1,0.4,0.0
2019-01-15 09:00:00+01,-2.4,1.2,3.2
2019-01-15 10:00:00+01,-2.5,0.5,14.5
2019-01-15 11:00:00+01,-2.2,0.4,26.6
2019-01-15 12:00:00+01,-2.2,0.5,34.1
2019-01-15 13:00:00+01,-1.5,0.3,31.1
2019-01-15 14:00:00+01,-1.4,0.7,14.6
2019-01-15 15:00:00+01,-0.3,0.7,6.4
2019-01-15 16:00:00+01,-1.0,2.2,0.0
2019-01-15 17:00:00+01,-2.0,1.3,0.0
2019-01-15 18:00:00+01,-5.9,0.2,0.0
2019-01-15 19:00:00+01,-5.5,0.4,0.0
2019-01-15 20:00:00+01,-4.0,0.6,0.0
2019-01-15 21:00:00+01,-4.6,0.7,0.0
2019-01-15 22:00:00+01,-7.5,0.1,0.0
2019-01-15 23:00:00+01,-7.3,0.4,0.0
2019-01-16 00:00:00+01,-7.8,0.4,0.0
2019-01-16 01:00:00+01,-8.2,0.3,0.0
2019-01-16 02:00:00+01,-6.3,0.4,0.0
2019-01-16 03:00:00+01,-6.1,0.6,0.0
2019-01-16 04:00:00+01,-5.8,0.4,0.0
2019-01-16 05:00:00+01,-5.3,1.2,0.0
2019-01-16 06:00:00+01,-5.0,1.2,0.0
2019-01-16 07:00:00+01,-4.5,1.1,0.0
2019-01-16 08:00:00+01,-3.2,0.6,0.0
2019-01-16 09:00:00+01,-2.2,0.7,2.3
2019-01-16 10:00:00+01,-1.7,0.7,8.0
2019-01-16 11:00:00+01,-1.3,0.6,10.4
2019-01-16 12:00:00+01,-2.0,0.5,15.7
2019-01-16 13:00:00+01,-2.4,0.6,10.1
2019-01-16 14:00:00+01,-2.1,0.3,11.9
2019-01-16 15:00:00+01,-2.1,0.2,2.8
2019-01-16 16:00:00+01,-1.6,0.2,0.0
2019-01-16 17:00:00+01,-1.7,0.5,0.0
2019-01-16 18:00:00+01,-2.3,0.7,0.0
2019-01-16 19:00:00+01,-2.6,1.4,0.0
2019-01-16 20:00:00+01,-4.0,0.9,0.0
2019-01-16 21:00:00+01,-5.7,0.7,0.0
2019-01-16 22:00:00+01,-7.0,0.3,0.0
2019-01-16 23:00:00+01,-7.2,0.4,0.0
2019-01-17 00:00:00+01,-7.9,0.4,0.0
2019-01-17 01:00:00+01,-8.2,0.2,0.0
2019-01-17 02:00:00+01,-10.6,0.2,0.0
2019-01-17 03:00:00+01,-11.7,0.1,0.0
2019-01-17 04:00:00+01,-11.4,0.1,0.0
2019-01-17 05:00:00+01,-11.8,0.3,0.0
2019-01-17 06:00:00+01,-12.3,0.2,0.0
2019-01-17 07:00:00+01,-11.5,0.1,0.0
2019-01-17 08:00:00+01,-11.5,0.2,0.0
2019-01-17 09:00:00+01,-10.6,0.2,5.9
2019-01-17 10:00:00+01,-9.3,0.1,15.1
2019-01-17 11:00:00+01,-4.9,0.5,16.2
2019-01-17 12:00:00+01,-4.8,0.8,19.1
2019-01-17 13:00:00+01,-3.7,0.4,34.9
2019-01-17 14:00:00+01,-4.7,0.5,18.9
2019-01-17 15:00:00+01,-6.6,0.2,6.5
2019-01-17 16:00:00+01,-7.5,0.1,0.0
2019-01-17 17:00:00+01,-9.6,0.1,0.0
2019-01-17 18:00:00+01,-12.1,0.1,0.0
2019-01-17 19:00:00+01,-13.1,0.1,0.0
2019-01-17 20:00:00+01,-14.1,0.2,0.0
2019-01-17 21:00:00+01,-15.1,0.3,0.0
2019-01-17 22:00:00+01,-15.5,0.3,0.0
2019-01-17 23:00:00+01,-15.8,0.3,0.0
2019-01-18 00:00:00+01,-16.5,0.3,0.0
2019-01-18 01:00:00+01,-17.4,0.1,0.0
2019-01-18 02:00:00+01,-17.4,0.2,0.0
2019-01-18 03:00:00+01,-17.4,0.2,0.0
2019-01-18 04:00:00+01,-17.8,0.2,0.0
2019-01-18 05:00:00+01,-18.4,0.3,0.0
2019-01-18 06:00:00+01,-17.5,0.3,0.0
2019-01-18 07:00:00+01,-16.6,0.3,0.0
2019-01-18 08:00:00+01,-15.1,0.3,0.2
2019-01-18 09:00:00+01,-14.2,0.3,5.6
2019-01-18 10:00:00+01,-13.7,0.2,11.8
2019-01-18 11:00:00+01,-10.1,0.4,35.3
2019-01-18 12:00:00+01,-6.9,0.3,52.9
2019-01-18 13:00:00+01,-5.4,0.0,49.4
2019-01-18 14:00:00+01,-7.8,0.1,25.1
2019-01-18 15:00:00+01,-8.3,0.1,5.1
2019-01-18 16:00:00+01,-8.0,0.2,0.0
2019-01-18 17:00:00+01,-7.1,0.4,0.0
2019-01-18 18:00:00+01,-7.6,0.3,0.0
2019-01-18 19:00:00+01,-7.6,0.2,0.0
2019-01-18 20:00:00+01,-7.9,0.2,0.0
2019-01-18 21:00:00+01,-7.9,0.3,0.0
2019-01-18 22:00:00+01,-8.9,0.1,0.0
2019-01-18 23:00:00+01,-10.2,0.1,0.0
2019-01-19 00:00:00+01,-11.7,0.2,0.0
2019-01-19 01:00:00+01,-12.4,0.2,0.0
2019-01-19 02:00:00+01,-12.5,0.2,0.0
2019-01-19 03:00:00+01,-12.5,0.1,0.0
2019-01-19 04:00:00+01,-9.9,0.2,0.0
2019-01-19 05:00:00+01,-1.0,0.7,0.0
