HOUR,L1,L7,ML1,ML2,L2,L3,L4,L5,L6
0.08333333333333333,-2.502857890438463,-0.18815260049541394,0.38695525767889194,-0.07505200000059631,-2.201101704096345,-1.6376229195456915,-1.513485228254325,-0.3236094000000094,0
0.16666666666666666,-2.235061268773734,-0.14571495866812256,0.4289438845598852,-0.07459071055382083,-1.9764789945102166,-1.4190874303046144,-1.298761507672566,-0.3225874972240774,0
0.25,-1.9159844347950639,-0.10327857479569502,0.47093251144178794,-0.07412942110795484,-1.7006007190243508,-1.1493964209285537,-1.0329354170671081,-0.3215655944481455,0
0.3333333333333333,-1.752952895062208,-0.060843460713840614,0.512921138321417,-0.0736681316616341,-1.5805414548176486,-1.0335268614948632,-0.9190939882791724,-0.32054369167224195,0
0.41666666666666663,-1.6450003580430348,-0.018409612539926457,0.5549097652033197,-0.07320684221531337,-1.5154892531795667,-0.9720773546376336,-0.8591420725070407,-0.31952178889631,0
0.49999999999999994,-1.3950358709339525,0.024022986787713307,0.5968983920834035,-0.07274555276944739,-1.3085604211660211,-0.7697819980604095,-0.6592380037673706,-0.31849988612034963,0
0.5833333333333334,-1.24118435185801,0.06645431801416635,0.6388870189648514,-0.0722842633235814,-1.197631643810837,-0.6625894037575506,-0.5536360230499611,-0.3174779833444177,0
0.6666666666666666,-1.0738534800766502,0.1088843912170887,0.6808756458458447,-0.07182297387680592,-1.0732225524702699,-0.5418786858071201,-0.4344673546294189,-0.31645608056851415,0
0.75,-0.8142983147718041,0.15131321836997813,0.7228642727259285,-0.07136168443139468,-0.8566353095452541,-0.32916659869817977,-0.2233896352674094,-0.3154341777925822,0
0.8333333333333334,-0.7320253731722914,0.19374076357689773,0.7648528996073765,-0.0709003949846192,-0.8172011106435093,-0.29287944973100366,-0.1881780578207497,-0.31441227501665026,0
0.9166666666666666,-0.6833227183228701,0.23616704306778047,0.8068415264883697,-0.07043910553875321,-0.8113143541545469,-0.29004633223513565,-0.1863587309119339,-0.3133903722407183,0
1.0,-0.63462275299662,0.2785920617720876,0.848830153369363,-0.06997781609243248,-0.8054277098249258,-0.2872132447718059,-0.18453940400311808,-0.31236846946478636,0
1.0833333333333333,-0.5859254764359321,0.3210158200522528,0.8908187802494467,-0.06951652664611174,-0.7995411776319088,-0.28438018733368153,-0.1827200770943307,-0.3113465666888544,0
1.1666666666666665,-0.5871774411975821,0.3208734801760329,0.8908667179448457,-0.06970676378932694,-0.8007135312864193,-0.284967176344054,-0.183097030670325,-0.3115111447687582,0
1.2499999999999998,-0.5884865015304968,0.3206824884659909,0.8908667179448457,-0.069897745619528,-0.8018939577755191,-0.28555807570560887,-0.18347649456799786,-0.3116770789817451,0
1.3333333333333333,-0.5897955676032325,0.3204914967291188,0.8908667179448457,-0.07008872744972905,-0.8030743889462428,-0.28614897636509795,-0.18385595846572755,-0.31184301319473207,0
1.4166666666666665,-0.5911046394171535,0.3203005049654166,0.8908667179453005,-0.07027970927902061,-0.8042548247990453,-0.2867398783225781,-0.18423542236345725,-0.3120089474076906,0
1.4999999999999998,-0.5924137169704409,0.3201095131762486,0.890866717944391,-0.07047069110922166,-0.8054352653325623,-0.2873307815780777,-0.1846148862611301,-0.3121748816206775,0
1.5833333333333333,-0.593722800265823,0.31991852136115995,0.890866717944391,-0.07066167293851322,-0.806615710548158,-0.2879216861316536,-0.1849943501588882,-0.31234081583363604,0
1.6666666666666665,-0.387308845357893,0.5275135640299595,0.890866717944391,-0.07085265476916902,-0.8077960167875062,-0.2885125690005452,-0.1853738140566179,-0.312506750046623,0
1.7499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
